,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,TIPO_DE_CALLE,XY (CABA),pos x,pos y,VICTIMA,ACUSADO
454,2019-0037,1,2019-05-01,2019,5,1,23,AVENIDA,Point (105091.36704114 101058.15092586),-58.40778291,-34.61971907,MOTO,AUTO
455,2019-0038,1,2019-05-04,2019,5,4,14,AVENIDA,Point (101025.65409402 109205.71453455),-58.45212523,-34.54628513,PEATON,MOTO
456,2019-0039,1,2019-05-09,2019,5,9,3,AVENIDA,Point (99615.63172945 99306.93173343),-58.46749188,-34.63551751,MOTO,AUTO
457,2019-0040,1,2019-05-09,2019,5,9,12,CALLE,Point (101894.68493124 99164.78448252),-58.4426358,-34.63679732,MOTO,SD
458,2019-0041,1,2019-05-11,2019,5,11,20,AVENIDA,Point (95590.61347415 96760.29404728),-58.51140289,-34.65846419,AUTO,MULTIPLE
459,2019-0042,1,2019-05-14,2019,5,14,15,CALLE,Point (107444.95821447 100509.15466740),-58.38211431,-34.62465368,PEATON,PASAJEROS
460,2019-0043,1,2019-05-21,2019,5,21,9,AVENIDA,Point (108602.89777103 103429.39485413),-58.36951669,-34.59832047,BICICLETA,CARGAS
461,2019-0044,1,2019-05-27,2019,5,27,12,AVENIDA,Point (104305.46011381 100986.83752228),-58.41635217,-34.62036547,PEATON,MOTO
462,2019-0045,1,2019-06-03,2019,6,3,7,AVENIDA,Point (104600.49945984 105930.85721602),-58.41316147,-34.57579669,MOTO,CARGAS
463,2019-0046,1,2019-06-04,2019,6,4,9,GRAL PAZ,Point (98817.74986778 110096.31367495),-58.47617802,-34.53825652,MOTO,AUTO
464,2019-0047,1,2019-06-06,2019,6,6,10,AVENIDA,Point (107049.58656184 99550.26208324),-58.38641783,-34.63330028,PEATON,CARGAS
465,2019-0048,1,2019-06-07,2019,6,7,7,AVENIDA,Point (100924.23883176 100986.01051740),-58.45322169,-34.62038137,MOTO,CARGAS
466,2019-0049,1,2019-06-08,2019,6,8,9,CALLE,Point (100441.31384072 107499.63270409),-58.45849057,-34.56166498,PEATON,CARGAS
467,2019-0050,1,2019-06-08,2019,6,8,23,AVENIDA,Point (104128.51577643 103898.77571857),-58.41829559,-34.59411677,MOTO,CARGAS
468,2019-0051,1,2019-06-11,2019,6,11,10,CALLE,Point (109126.17010339 98991.49558123),-58.36376488,-34.63832093,MOTO,AUTO
469,2019-0053,1,2019-06-14,2019,6,14,17,AVENIDA,Point (99896.72991309 96585.69018400),-58.46442668,-34.66004784,AUTO,AUTO
470,2019-0054,1,2019-06-20,2019,6,20,3,CALLE,Point (98264.06251394 104989.86881414),-58.48222035,-34.58428769,MOTO,OBJETO FIJO
471,2019-0055,1,2019-06-20,2019,6,20,19,AVENIDA,Point (108724.12468316 102928.79394095),-58.36819005,-34.60283208,MOTO,PASAJEROS
472,2019-0056,1,2019-06-29,2019,6,29,17,AVENIDA,Point (100414.85185956 100661.22751226),-58.45877601,-34.62330939,PEATON,AUTO
473,2019-0057,1,2019-07-05,2019,7,5,19,CALLE,Point (101957.99726887 107949.81115534),-58.44196498,-34.55760517,PEATON,AUTO
474,2019-0058,1,2019-07-10,2019,7,10,9,AUTOPISTA,Point (96064.06591151 99221.69236283),-58.50622631,-34.63627822,MOTO,PASAJEROS
475,2019-0059,1,2019-07-13,2019,7,13,22,CALLE,Point (107261.50953067 99806.16899068),-58.3841088,-34.63099197,MOTO,PASAJEROS
476,2019-0060,1,2019-07-17,2019,7,17,11,AVENIDA,Point (98376.49615363 99359.41534876),-58.48100602,-34.63504312,PEATON,AUTO
